2017-12-07, |{'final_value': 122757.0620492214, 'pfast': 6, 'pslow': 20}
2017-12-07, |{'final_value': 56477.84611458482, 'pfast': 6, 'pslow': 26}
2017-12-07, |{'final_value': 23316.708867793088, 'pfast': 6, 'pslow': 30}
2017-12-07, |{'final_value': 23109.72541064253, 'pfast': 6, 'pslow': 34}
2017-12-07, |{'final_value': 103023.55670596876, 'pfast': 7, 'pslow': 18}
2017-12-07, |{'final_value': 77767.53326562325, 'pfast': 7, 'pslow': 21}
2017-12-07, |{'final_value': 20709.765677119787, 'pfast': 7, 'pslow': 26}
2017-12-07, |{'final_value': 17331.455864778287, 'pfast': 7, 'pslow': 30}
2017-12-07, |{'final_value': 23742.141455754594, 'pfast': 7, 'pslow': 34}
2017-12-07, |{'final_value': 101845.58145042165, 'pfast': 8, 'pslow': 17}
2017-12-07, |{'final_value': 139516.2770713395, 'pfast': 8, 'pslow': 20}
2017-12-07, |{'final_value': 67577.24765452553, 'pfast': 8, 'pslow': 24}
2017-12-07, |{'final_value': 23193.561912360623, 'pfast': 8, 'pslow': 28}
2017-12-07, |{'final_value': 21871.734275457504, 'pfast': 8, 'pslow': 32}
2017-12-07, |{'final_value': 137073.2810280068, 'pfast': 9, 'pslow': 17}
2017-12-07, |{'final_value': 297849.8047720102, 'pfast': 9, 'pslow': 20}
2017-12-07, |{'final_value': 33293.28961322295, 'pfast': 9, 'pslow': 24}
2017-12-07, |{'final_value': 23491.229993439527, 'pfast': 9, 'pslow': 29}
2017-12-07, |{'final_value': 23125.146772255554, 'pfast': 9, 'pslow': 33}
2017-12-07, |{'final_value': 127286.90784970237, 'pfast': 10, 'pslow': 16}
2017-12-07, |{'final_value': 110688.92082491734, 'pfast': 10, 'pslow': 20}
2017-12-07, |{'final_value': 28266.923437767662, 'pfast': 10, 'pslow': 24}
2017-12-07, |{'final_value': 28275.686770793312, 'pfast': 10, 'pslow': 29}
2017-12-07, |{'final_value': 25417.965750813208, 'pfast': 10, 'pslow': 32}
2017-12-07, |{'final_value': 117196.5306643548, 'pfast': 11, 'pslow': 16}
2017-12-07, |{'final_value': 42208.79801933584, 'pfast': 11, 'pslow': 22}
2017-12-07, |{'final_value': 34731.08975433007, 'pfast': 11, 'pslow': 25}
2017-12-07, |{'final_value': 67690.88705024989, 'pfast': 11, 'pslow': 29}
2017-12-07, |{'final_value': 28861.329957452515, 'pfast': 11, 'pslow': 33}
